"n","Country","State","Model","Error"
84,"USA","IL","VMD-BRNN",-369
85,"USA","IL","VMD-BRNN",327
86,"USA","IL","VMD-BRNN",496
87,"USA","IL","VMD-BRNN",254
88,"USA","IL","VMD-BRNN",-103
89,"USA","IL","VMD-BRNN",-97
90,"USA","IL","VMD-BRNN",480
91,"USA","IL","VMD-BRNN",-396
92,"USA","IL","VMD-BRNN",1107
93,"USA","IL","VMD-BRNN",2568
94,"USA","IL","VMD-BRNN",4721
95,"USA","IL","VMD-BRNN",7548
96,"USA","IL","VMD-BRNN",11312
1,"USA","IL","VMR-QRF",1
2,"USA","IL","VMR-QRF",1
3,"USA","IL","VMR-QRF",1
4,"USA","IL","VMR-QRF",-65
5,"USA","IL","VMR-QRF",-78
6,"USA","IL","VMR-QRF",-91
7,"USA","IL","VMR-QRF",1
8,"USA","IL","VMR-QRF",2
9,"USA","IL","VMR-QRF",2
10,"USA","IL","VMR-QRF",-403
11,"USA","IL","VMR-QRF",-449
12,"USA","IL","VMR-QRF",-478
13,"USA","IL","VMR-QRF",-257
14,"USA","IL","VMR-QRF",-529
15,"USA","IL","VMR-QRF",-553
16,"USA","IL","VMR-QRF",-572
17,"USA","IL","VMR-QRF",-589
18,"USA","IL","VMR-QRF",-706
19,"USA","IL","VMR-QRF",-60
20,"USA","IL","VMR-QRF",-644
21,"USA","IL","VMR-QRF",-658
22,"USA","IL","VMR-QRF",-665
23,"USA","IL","VMR-QRF",-669
24,"USA","IL","VMR-QRF",-674
25,"USA","IL","VMR-QRF",-36
26,"USA","IL","VMR-QRF",-43
27,"USA","IL","VMR-QRF",-422
28,"USA","IL","VMR-QRF",-675
29,"USA","IL","VMR-QRF",-613
30,"USA","IL","VMR-QRF",-675
31,"USA","IL","VMR-QRF",-109
32,"USA","IL","VMR-QRF",-527
33,"USA","IL","VMR-QRF",-531
34,"USA","IL","VMR-QRF",-923
35,"USA","IL","VMR-QRF",-901
36,"USA","IL","VMR-QRF",-836
37,"USA","IL","VMR-QRF",-14
38,"USA","IL","VMR-QRF",-217
39,"USA","IL","VMR-QRF",-443
40,"USA","IL","VMR-QRF",-795
41,"USA","IL","VMR-QRF",-1067
42,"USA","IL","VMR-QRF",-1353
43,"USA","IL","VMR-QRF",5
44,"USA","IL","VMR-QRF",6
45,"USA","IL","VMR-QRF",-10
46,"USA","IL","VMR-QRF",-133
47,"USA","IL","VMR-QRF",-464
48,"USA","IL","VMR-QRF",-478
49,"USA","IL","VMR-QRF",-134
50,"USA","IL","VMR-QRF",-514
51,"USA","IL","VMR-QRF",-729
52,"USA","IL","VMR-QRF",-1479
53,"USA","IL","VMR-QRF",-2154
54,"USA","IL","VMR-QRF",-2965
55,"USA","IL","VMR-QRF",-479
56,"USA","IL","VMR-QRF",-980
57,"USA","IL","VMR-QRF",-2071
58,"USA","IL","VMR-QRF",-3165
59,"USA","IL","VMR-QRF",-3652
60,"USA","IL","VMR-QRF",-4009
61,"USA","IL","VMR-QRF",109
62,"USA","IL","VMR-QRF",276
63,"USA","IL","VMR-QRF",474
64,"USA","IL","VMR-QRF",427
65,"USA","IL","VMR-QRF",77
66,"USA","IL","VMR-QRF",91
67,"USA","IL","VMR-QRF",-62
68,"USA","IL","VMR-QRF",5
69,"USA","IL","VMR-QRF",217
70,"USA","IL","VMR-QRF",304
71,"USA","IL","VMR-QRF",385
72,"USA","IL","VMR-QRF",838
73,"USA","IL","VMR-QRF",-231
74,"USA","IL","VMR-QRF",-49
75,"USA","IL","VMR-QRF",560
76,"USA","IL","VMR-QRF",1304
77,"USA","IL","VMR-QRF",1755
78,"USA","IL","VMR-QRF",2594
79,"USA","IL","VMR-QRF",-214
80,"USA","IL","VMR-QRF",132
81,"USA","IL","VMR-QRF",-12
82,"USA","IL","VMR-QRF",357
83,"USA","IL","VMR-QRF",1308
84,"USA","IL","VMR-QRF",2026
85,"USA","IL","VMR-QRF",342
86,"USA","IL","VMR-QRF",568
87,"USA","IL","VMR-QRF",1234
88,"USA","IL","VMR-QRF",1980
89,"USA","IL","VMR-QRF",2602
90,"USA","IL","VMR-QRF",4317
91,"USA","IL","VMR-QRF",4081
92,"USA","IL","VMR-QRF",5292
93,"USA","IL","VMR-QRF",7411
94,"USA","IL","VMR-QRF",10851
95,"USA","IL","VMR-QRF",13021
96,"USA","IL","VMR-QRF",14304
1,"USA","MA","VMD-KNN",-1170
2,"USA","MA","VMD-KNN",-800
3,"USA","MA","VMD-KNN",-697
4,"USA","MA","VMD-KNN",0
5,"USA","MA","VMD-KNN",0
6,"USA","MA","VMD-KNN",-416
7,"USA","MA","VMD-KNN",-74
8,"USA","MA","VMD-KNN",-1925
9,"USA","MA","VMD-KNN",-1928
10,"USA","MA","VMD-KNN",-1909
11,"USA","MA","VMD-KNN",1
12,"USA","MA","VMD-KNN",-1307
13,"USA","MA","VMD-KNN",1
14,"USA","MA","VMD-KNN",1
15,"USA","MA","VMD-KNN",1
16,"USA","MA","VMD-KNN",1
17,"USA","MA","VMD-KNN",1
18,"USA","MA","VMD-KNN",1
19,"USA","MA","VMD-KNN",-1120
20,"USA","MA","VMD-KNN",-155
21,"USA","MA","VMD-KNN",-17
22,"USA","MA","VMD-KNN",-1576
23,"USA","MA","VMD-KNN",-58
24,"USA","MA","VMD-KNN",-454
25,"USA","MA","VMD-KNN",-78
26,"USA","MA","VMD-KNN",1
27,"USA","MA","VMD-KNN",1
28,"USA","MA","VMD-KNN",1
29,"USA","MA","VMD-KNN",1
30,"USA","MA","VMD-KNN",1
31,"USA","MA","VMD-KNN",1
32,"USA","MA","VMD-KNN",1
33,"USA","MA","VMD-KNN",-104
34,"USA","MA","VMD-KNN",-2134
35,"USA","MA","VMD-KNN",-1425
36,"USA","MA","VMD-KNN",-5545
37,"USA","MA","VMD-KNN",1
38,"USA","MA","VMD-KNN",1
39,"USA","MA","VMD-KNN",1
40,"USA","MA","VMD-KNN",2
41,"USA","MA","VMD-KNN",-1678
42,"USA","MA","VMD-KNN",2
43,"USA","MA","VMD-KNN",-2446
44,"USA","MA","VMD-KNN",-1640
45,"USA","MA","VMD-KNN",-2943
46,"USA","MA","VMD-KNN",-2852
47,"USA","MA","VMD-KNN",-5386
48,"USA","MA","VMD-KNN",-2399
49,"USA","MA","VMD-KNN",-1966
50,"USA","MA","VMD-KNN",-2349
51,"USA","MA","VMD-KNN",-4437
52,"USA","MA","VMD-KNN",-4087
53,"USA","MA","VMD-KNN",-4783
54,"USA","MA","VMD-KNN",-6955
55,"USA","MA","VMD-KNN",-488
56,"USA","MA","VMD-KNN",-372
57,"USA","MA","VMD-KNN",-1086
58,"USA","MA","VMD-KNN",-5124
59,"USA","MA","VMD-KNN",-6648
60,"USA","MA","VMD-KNN",-3009
61,"USA","MA","VMD-KNN",-33
62,"USA","MA","VMD-KNN",-8316
63,"USA","MA","VMD-KNN",-8823
64,"USA","MA","VMD-KNN",-9456
65,"USA","MA","VMD-KNN",-8123
66,"USA","MA","VMD-KNN",-7494
67,"USA","MA","VMD-KNN",-1177
68,"USA","MA","VMD-KNN",-5401
69,"USA","MA","VMD-KNN",-1513
70,"USA","MA","VMD-KNN",-1473
71,"USA","MA","VMD-KNN",299
72,"USA","MA","VMD-KNN",-2420
73,"USA","MA","VMD-KNN",-557
74,"USA","MA","VMD-KNN",-3243
75,"USA","MA","VMD-KNN",-2584
76,"USA","MA","VMD-KNN",-1112
77,"USA","MA","VMD-KNN",331
78,"USA","MA","VMD-KNN",2562
79,"USA","MA","VMD-KNN",4062
80,"USA","MA","VMD-KNN",2400
81,"USA","MA","VMD-KNN",2579
82,"USA","MA","VMD-KNN",5683
83,"USA","MA","VMD-KNN",9612
84,"USA","MA","VMD-KNN",10869
85,"USA","MA","VMD-KNN",1490
86,"USA","MA","VMD-KNN",4136
87,"USA","MA","VMD-KNN",10603
88,"USA","MA","VMD-KNN",6090
89,"USA","MA","VMD-KNN",10409
90,"USA","MA","VMD-KNN",4894
91,"USA","MA","VMD-KNN",10422
92,"USA","MA","VMD-KNN",15206
93,"USA","MA","VMD-KNN",19031
94,"USA","MA","VMD-KNN",18694
95,"USA","MA","VMD-KNN",24704
1,"USA","MA","VMD-SVR",-635
2,"USA","MA","VMD-SVR",-1323
3,"USA","MA","VMD-SVR",-2311
4,"USA","MA","VMD-SVR",-3127
5,"USA","MA","VMD-SVR",-3982
6,"USA","MA","VMD-SVR",-4601
7,"USA","MA","VMD-SVR",-995
8,"USA","MA","VMD-SVR",-1210
9,"USA","MA","VMD-SVR",-1769
10,"USA","MA","VMD-SVR",-2380
11,"USA","MA","VMD-SVR",-3035
12,"USA","MA","VMD-SVR",-3594
13,"USA","MA","VMD-SVR",-1236
14,"USA","MA","VMD-SVR",-1926
15,"USA","MA","VMD-SVR",-2476
16,"USA","MA","VMD-SVR",-3052
17,"USA","MA","VMD-SVR",-3403
18,"USA","MA","VMD-SVR",-3547
19,"USA","MA","VMD-SVR",-916
20,"USA","MA","VMD-SVR",-1658
21,"USA","MA","VMD-SVR",-2255
22,"USA","MA","VMD-SVR",-2748
23,"USA","MA","VMD-SVR",-2905
24,"USA","MA","VMD-SVR",-2609
25,"USA","MA","VMD-SVR",-403
26,"USA","MA","VMD-SVR",-1043
27,"USA","MA","VMD-SVR",-1526
28,"USA","MA","VMD-SVR",-2039
29,"USA","MA","VMD-SVR",-2204
30,"USA","MA","VMD-SVR",-2128
31,"USA","MA","VMD-SVR",-235
32,"USA","MA","VMD-SVR",-934
33,"USA","MA","VMD-SVR",-1747
34,"USA","MA","VMD-SVR",-2729
35,"USA","MA","VMD-SVR",-3477
36,"USA","MA","VMD-SVR",-3964
37,"USA","MA","VMD-SVR",-280
38,"USA","MA","VMD-SVR",-304
39,"USA","MA","VMD-SVR",-260
40,"USA","MA","VMD-SVR",-562
41,"USA","MA","VMD-SVR",-1600
42,"USA","MA","VMD-SVR",-2438
43,"USA","MA","VMD-SVR",-329
44,"USA","MA","VMD-SVR",-647
45,"USA","MA","VMD-SVR",-841
46,"USA","MA","VMD-SVR",-1131
47,"USA","MA","VMD-SVR",-1930
48,"USA","MA","VMD-SVR",-2871
49,"USA","MA","VMD-SVR",-300
50,"USA","MA","VMD-SVR",-369
51,"USA","MA","VMD-SVR",-703
52,"USA","MA","VMD-SVR",-1086
53,"USA","MA","VMD-SVR",-1143
54,"USA","MA","VMD-SVR",-939
55,"USA","MA","VMD-SVR",252
56,"USA","MA","VMD-SVR",328
57,"USA","MA","VMD-SVR",413
58,"USA","MA","VMD-SVR",523
59,"USA","MA","VMD-SVR",469
60,"USA","MA","VMD-SVR",777
61,"USA","MA","VMD-SVR",1159
62,"USA","MA","VMD-SVR",1838
63,"USA","MA","VMD-SVR",2417
64,"USA","MA","VMD-SVR",3240
65,"USA","MA","VMD-SVR",3934
66,"USA","MA","VMD-SVR",4343
67,"USA","MA","VMD-SVR",1336
68,"USA","MA","VMD-SVR",2212
69,"USA","MA","VMD-SVR",3653
70,"USA","MA","VMD-SVR",5104
71,"USA","MA","VMD-SVR",6665
72,"USA","MA","VMD-SVR",8209
73,"USA","MA","VMD-SVR",1299
74,"USA","MA","VMD-SVR",2495
75,"USA","MA","VMD-SVR",3985
76,"USA","MA","VMD-SVR",5500
77,"USA","MA","VMD-SVR",7730
78,"USA","MA","VMD-SVR",10008
79,"USA","MA","VMD-SVR",2287
80,"USA","MA","VMD-SVR",4864
81,"USA","MA","VMD-SVR",6450
82,"USA","MA","VMD-SVR",7350
83,"USA","MA","VMD-SVR",8933
84,"USA","MA","VMD-SVR",10942
85,"USA","MA","VMD-SVR",2631
86,"USA","MA","VMD-SVR",4259
87,"USA","MA","VMD-SVR",5935
88,"USA","MA","VMD-SVR",5515
89,"USA","MA","VMD-SVR",7924
90,"USA","MA","VMD-SVR",115
91,"USA","MA","VMD-SVR",2467
92,"USA","MA","VMD-SVR",7072
93,"USA","MA","VMD-SVR",9026
94,"USA","MA","VMD-SVR",10430
95,"USA","MA","VMD-SVR",11634
1,"USA","MA","VMD-CUBIST",0
2,"USA","MA","VMD-CUBIST",0
3,"USA","MA","VMD-CUBIST",0
4,"USA","MA","VMD-CUBIST",-10
5,"USA","MA","VMD-CUBIST",-26
6,"USA","MA","VMD-CUBIST",-43
7,"USA","MA","VMD-CUBIST",0
8,"USA","MA","VMD-CUBIST",0
9,"USA","MA","VMD-CUBIST",1
10,"USA","MA","VMD-CUBIST",1
11,"USA","MA","VMD-CUBIST",1
12,"USA","MA","VMD-CUBIST",1
13,"USA","MA","VMD-CUBIST",1
14,"USA","MA","VMD-CUBIST",1
15,"USA","MA","VMD-CUBIST",1
16,"USA","MA","VMD-CUBIST",1
17,"USA","MA","VMD-CUBIST",1
18,"USA","MA","VMD-CUBIST",1
19,"USA","MA","VMD-CUBIST",-6
20,"USA","MA","VMD-CUBIST",-8
21,"USA","MA","VMD-CUBIST",-9
22,"USA","MA","VMD-CUBIST",1
23,"USA","MA","VMD-CUBIST",1
24,"USA","MA","VMD-CUBIST",1
25,"USA","MA","VMD-CUBIST",-38
26,"USA","MA","VMD-CUBIST",-40
27,"USA","MA","VMD-CUBIST",-39
28,"USA","MA","VMD-CUBIST",-33
29,"USA","MA","VMD-CUBIST",-26
30,"USA","MA","VMD-CUBIST",-18
31,"USA","MA","VMD-CUBIST",-38
32,"USA","MA","VMD-CUBIST",-31
33,"USA","MA","VMD-CUBIST",-20
34,"USA","MA","VMD-CUBIST",-15
35,"USA","MA","VMD-CUBIST",-5
36,"USA","MA","VMD-CUBIST",1
37,"USA","MA","VMD-CUBIST",-20
38,"USA","MA","VMD-CUBIST",-20
39,"USA","MA","VMD-CUBIST",-25
40,"USA","MA","VMD-CUBIST",-35
41,"USA","MA","VMD-CUBIST",-57
42,"USA","MA","VMD-CUBIST",-92
43,"USA","MA","VMD-CUBIST",-40
44,"USA","MA","VMD-CUBIST",-47
45,"USA","MA","VMD-CUBIST",-36
46,"USA","MA","VMD-CUBIST",-39
47,"USA","MA","VMD-CUBIST",-28
48,"USA","MA","VMD-CUBIST",19
49,"USA","MA","VMD-CUBIST",15
50,"USA","MA","VMD-CUBIST",44
51,"USA","MA","VMD-CUBIST",75
52,"USA","MA","VMD-CUBIST",94
53,"USA","MA","VMD-CUBIST",163
54,"USA","MA","VMD-CUBIST",209
55,"USA","MA","VMD-CUBIST",206
56,"USA","MA","VMD-CUBIST",249
57,"USA","MA","VMD-CUBIST",264
58,"USA","MA","VMD-CUBIST",254
59,"USA","MA","VMD-CUBIST",170
60,"USA","MA","VMD-CUBIST",33
61,"USA","MA","VMD-CUBIST",26
62,"USA","MA","VMD-CUBIST",229
63,"USA","MA","VMD-CUBIST",225
64,"USA","MA","VMD-CUBIST",351
65,"USA","MA","VMD-CUBIST",548
66,"USA","MA","VMD-CUBIST",312
67,"USA","MA","VMD-CUBIST",-28
68,"USA","MA","VMD-CUBIST",-242
69,"USA","MA","VMD-CUBIST",-290
70,"USA","MA","VMD-CUBIST",-294
71,"USA","MA","VMD-CUBIST",-148
72,"USA","MA","VMD-CUBIST",-142
73,"USA","MA","VMD-CUBIST",-555
74,"USA","MA","VMD-CUBIST",-623
75,"USA","MA","VMD-CUBIST",-726
76,"USA","MA","VMD-CUBIST",-668
77,"USA","MA","VMD-CUBIST",-131
78,"USA","MA","VMD-CUBIST",239
79,"USA","MA","VMD-CUBIST",-77
80,"USA","MA","VMD-CUBIST",725
81,"USA","MA","VMD-CUBIST",298
82,"USA","MA","VMD-CUBIST",-259
83,"USA","MA","VMD-CUBIST",-400
84,"USA","MA","VMD-CUBIST",-101
85,"USA","MA","VMD-CUBIST",513
86,"USA","MA","VMD-CUBIST",470
87,"USA","MA","VMD-CUBIST",85
88,"USA","MA","VMD-CUBIST",-2089
89,"USA","MA","VMD-CUBIST",-1258
90,"USA","MA","VMD-CUBIST",-1742
91,"USA","MA","VMD-CUBIST",-1050
92,"USA","MA","VMD-CUBIST",1559
93,"USA","MA","VMD-CUBIST",1713
94,"USA","MA","VMD-CUBIST",1259
95,"USA","MA","VMD-CUBIST",1989
1,"USA","MA","VMD-BRNN",-211
2,"USA","MA","VMD-BRNN",-447
3,"USA","MA","VMD-BRNN",-559
4,"USA","MA","VMD-BRNN",-481
5,"USA","MA","VMD-BRNN",-254
6,"USA","MA","VMD-BRNN",0
7,"USA","MA","VMD-BRNN",-66
8,"USA","MA","VMD-BRNN",-217
9,"USA","MA","VMD-BRNN",-366
10,"USA","MA","VMD-BRNN",-426
11,"USA","MA","VMD-BRNN",-344
12,"USA","MA","VMD-BRNN",-211
13,"USA","MA","VMD-BRNN",-91
14,"USA","MA","VMD-BRNN",-207
15,"USA","MA","VMD-BRNN",-307
16,"USA","MA","VMD-BRNN",-387
17,"USA","MA","VMD-BRNN",-502
18,"USA","MA","VMD-BRNN",-633
19,"USA","MA","VMD-BRNN",-17
20,"USA","MA","VMD-BRNN",1
21,"USA","MA","VMD-BRNN",1
22,"USA","MA","VMD-BRNN",1
23,"USA","MA","VMD-BRNN",1
24,"USA","MA","VMD-BRNN",1
25,"USA","MA","VMD-BRNN",1
26,"USA","MA","VMD-BRNN",1
27,"USA","MA","VMD-BRNN",1
28,"USA","MA","VMD-BRNN",1
29,"USA","MA","VMD-BRNN",1
30,"USA","MA","VMD-BRNN",1
31,"USA","MA","VMD-BRNN",1
32,"USA","MA","VMD-BRNN",1
33,"USA","MA","VMD-BRNN",1
34,"USA","MA","VMD-BRNN",1
35,"USA","MA","VMD-BRNN",1
36,"USA","MA","VMD-BRNN",1
37,"USA","MA","VMD-BRNN",1
38,"USA","MA","VMD-BRNN",1
39,"USA","MA","VMD-BRNN",1
40,"USA","MA","VMD-BRNN",2
41,"USA","MA","VMD-BRNN",2
42,"USA","MA","VMD-BRNN",2
43,"USA","MA","VMD-BRNN",-97
44,"USA","MA","VMD-BRNN",-299
45,"USA","MA","VMD-BRNN",-603
46,"USA","MA","VMD-BRNN",-1046
47,"USA","MA","VMD-BRNN",-1563
48,"USA","MA","VMD-BRNN",-2070
49,"USA","MA","VMD-BRNN",-181
50,"USA","MA","VMD-BRNN",-555
51,"USA","MA","VMD-BRNN",-1037
52,"USA","MA","VMD-BRNN",-1620
53,"USA","MA","VMD-BRNN",-2242
54,"USA","MA","VMD-BRNN",-2994
55,"USA","MA","VMD-BRNN",-3
56,"USA","MA","VMD-BRNN",-339
57,"USA","MA","VMD-BRNN",-806
58,"USA","MA","VMD-BRNN",-1379
59,"USA","MA","VMD-BRNN",-2153
60,"USA","MA","VMD-BRNN",-3093
61,"USA","MA","VMD-BRNN",-221
62,"USA","MA","VMD-BRNN",-494
63,"USA","MA","VMD-BRNN",-1154
64,"USA","MA","VMD-BRNN",-1849
65,"USA","MA","VMD-BRNN",-2626
66,"USA","MA","VMD-BRNN",-3948
67,"USA","MA","VMD-BRNN",-332
68,"USA","MA","VMD-BRNN",-1048
69,"USA","MA","VMD-BRNN",-1739
70,"USA","MA","VMD-BRNN",-2486
71,"USA","MA","VMD-BRNN",-3084
72,"USA","MA","VMD-BRNN",-3774
73,"USA","MA","VMD-BRNN",-726
74,"USA","MA","VMD-BRNN",-1077
75,"USA","MA","VMD-BRNN",-1546
76,"USA","MA","VMD-BRNN",-1891
77,"USA","MA","VMD-BRNN",-1691
78,"USA","MA","VMD-BRNN",-1584
79,"USA","MA","VMD-BRNN",-29
80,"USA","MA","VMD-BRNN",862
81,"USA","MA","VMD-BRNN",477
82,"USA","MA","VMD-BRNN",9
83,"USA","MA","VMD-BRNN",10
84,"USA","MA","VMD-BRNN",518
85,"USA","MA","VMD-BRNN",673
86,"USA","MA","VMD-BRNN",968
87,"USA","MA","VMD-BRNN",1104
88,"USA","MA","VMD-BRNN",-367
89,"USA","MA","VMD-BRNN",1395
90,"USA","MA","VMD-BRNN",-1141
91,"USA","MA","VMD-BRNN",799
92,"USA","MA","VMD-BRNN",5423
93,"USA","MA","VMD-BRNN",8451
94,"USA","MA","VMD-BRNN",11577
95,"USA","MA","VMD-BRNN",15373
1,"USA","MA","VMR-QRF",0
2,"USA","MA","VMR-QRF",0
3,"USA","MA","VMR-QRF",-221
4,"USA","MA","VMR-QRF",-160
5,"USA","MA","VMR-QRF",0
6,"USA","MA","VMR-QRF",-276
7,"USA","MA","VMR-QRF",0
8,"USA","MA","VMR-QRF",0
9,"USA","MA","VMR-QRF",-459
10,"USA","MA","VMR-QRF",-981
11,"USA","MA","VMR-QRF",-1540
12,"USA","MA","VMR-QRF",-2134
13,"USA","MA","VMR-QRF",-360
14,"USA","MA","VMR-QRF",-1007
15,"USA","MA","VMR-QRF",-1691
16,"USA","MA","VMR-QRF",-2287
17,"USA","MA","VMR-QRF",-3131
18,"USA","MA","VMR-QRF",-3507
19,"USA","MA","VMR-QRF",1
20,"USA","MA","VMR-QRF",-12
21,"USA","MA","VMR-QRF",-20
22,"USA","MA","VMR-QRF",-42
23,"USA","MA","VMR-QRF",-829
24,"USA","MA","VMR-QRF",-840
25,"USA","MA","VMR-QRF",-49
26,"USA","MA","VMR-QRF",-59
27,"USA","MA","VMR-QRF",-377
28,"USA","MA","VMR-QRF",-1119
29,"USA","MA","VMR-QRF",-1687
30,"USA","MA","VMR-QRF",-2386
31,"USA","MA","VMR-QRF",-46
32,"USA","MA","VMR-QRF",-82
33,"USA","MA","VMR-QRF",-596
34,"USA","MA","VMR-QRF",-695
35,"USA","MA","VMR-QRF",-1111
36,"USA","MA","VMR-QRF",-1037
37,"USA","MA","VMR-QRF",-33
38,"USA","MA","VMR-QRF",-22
39,"USA","MA","VMR-QRF",-25
40,"USA","MA","VMR-QRF",-379
41,"USA","MA","VMR-QRF",-120
42,"USA","MA","VMR-QRF",-550
43,"USA","MA","VMR-QRF",-43
44,"USA","MA","VMR-QRF",-52
45,"USA","MA","VMR-QRF",-506
46,"USA","MA","VMR-QRF",-1021
47,"USA","MA","VMR-QRF",-1939
48,"USA","MA","VMR-QRF",-2495
49,"USA","MA","VMR-QRF",-583
50,"USA","MA","VMR-QRF",-1532
51,"USA","MA","VMR-QRF",-2015
52,"USA","MA","VMR-QRF",-2195
53,"USA","MA","VMR-QRF",-3115
54,"USA","MA","VMR-QRF",-3926
55,"USA","MA","VMR-QRF",30
56,"USA","MA","VMR-QRF",-1463
57,"USA","MA","VMR-QRF",-2632
58,"USA","MA","VMR-QRF",-3800
59,"USA","MA","VMR-QRF",-4551
60,"USA","MA","VMR-QRF",-4794
61,"USA","MA","VMR-QRF",138
62,"USA","MA","VMR-QRF",548
63,"USA","MA","VMR-QRF",805
64,"USA","MA","VMR-QRF",1236
65,"USA","MA","VMR-QRF",1711
66,"USA","MA","VMR-QRF",2432
67,"USA","MA","VMR-QRF",-1
68,"USA","MA","VMR-QRF",-238
69,"USA","MA","VMR-QRF",462
70,"USA","MA","VMR-QRF",788
71,"USA","MA","VMR-QRF",1665
72,"USA","MA","VMR-QRF",2163
73,"USA","MA","VMR-QRF",-96
74,"USA","MA","VMR-QRF",1217
75,"USA","MA","VMR-QRF",2098
76,"USA","MA","VMR-QRF",2823
77,"USA","MA","VMR-QRF",4068
78,"USA","MA","VMR-QRF",5759
79,"USA","MA","VMR-QRF",240
80,"USA","MA","VMR-QRF",2415
81,"USA","MA","VMR-QRF",2133
82,"USA","MA","VMR-QRF",2372
83,"USA","MA","VMR-QRF",2942
84,"USA","MA","VMR-QRF",4600
85,"USA","MA","VMR-QRF",1259
86,"USA","MA","VMR-QRF",2631
87,"USA","MA","VMR-QRF",3773
88,"USA","MA","VMR-QRF",3736
89,"USA","MA","VMR-QRF",6875
90,"USA","MA","VMR-QRF",2864
91,"USA","MA","VMR-QRF",6128
92,"USA","MA","VMR-QRF",11073
93,"USA","MA","VMR-QRF",13269
94,"USA","MA","VMR-QRF",14560
95,"USA","MA","VMR-QRF",15363
1,"USA","NJ","VMD-KNN",-3738
2,"USA","NJ","VMD-KNN",-7875
3,"USA","NJ","VMD-KNN",-5622
4,"USA","NJ","VMD-KNN",-19125
5,"USA","NJ","VMD-KNN",-9712
6,"USA","NJ","VMD-KNN",-5547
7,"USA","NJ","VMD-KNN",0
8,"USA","NJ","VMD-KNN",-2229
9,"USA","NJ","VMD-KNN",-2958
10,"USA","NJ","VMD-KNN",-1937
11,"USA","NJ","VMD-KNN",-1607
12,"USA","NJ","VMD-KNN",-3587
13,"USA","NJ","VMD-KNN",-11739
14,"USA","NJ","VMD-KNN",-12038
15,"USA","NJ","VMD-KNN",-6336
16,"USA","NJ","VMD-KNN",-6259
17,"USA","NJ","VMD-KNN",-8080
18,"USA","NJ","VMD-KNN",-10167
19,"USA","NJ","VMD-KNN",0
20,"USA","NJ","VMD-KNN",-2506
21,"USA","NJ","VMD-KNN",-4070
22,"USA","NJ","VMD-KNN",-6378
23,"USA","NJ","VMD-KNN",-3458
24,"USA","NJ","VMD-KNN",0
25,"USA","NJ","VMD-KNN",0
26,"USA","NJ","VMD-KNN",0
27,"USA","NJ","VMD-KNN",0
28,"USA","NJ","VMD-KNN",0
29,"USA","NJ","VMD-KNN",0
30,"USA","NJ","VMD-KNN",0
31,"USA","NJ","VMD-KNN",0
32,"USA","NJ","VMD-KNN",0
33,"USA","NJ","VMD-KNN",0
34,"USA","NJ","VMD-KNN",-1251
35,"USA","NJ","VMD-KNN",0
36,"USA","NJ","VMD-KNN",0
37,"USA","NJ","VMD-KNN",0
38,"USA","NJ","VMD-KNN",0
39,"USA","NJ","VMD-KNN",0
40,"USA","NJ","VMD-KNN",0
41,"USA","NJ","VMD-KNN",-3410
42,"USA","NJ","VMD-KNN",-5859
43,"USA","NJ","VMD-KNN",-3161
44,"USA","NJ","VMD-KNN",-8413
45,"USA","NJ","VMD-KNN",-9107
46,"USA","NJ","VMD-KNN",-9510
47,"USA","NJ","VMD-KNN",-9408
48,"USA","NJ","VMD-KNN",-10473
49,"USA","NJ","VMD-KNN",-3174
50,"USA","NJ","VMD-KNN",-7214
51,"USA","NJ","VMD-KNN",-5118
52,"USA","NJ","VMD-KNN",-9578
53,"USA","NJ","VMD-KNN",-8115
54,"USA","NJ","VMD-KNN",-14582
55,"USA","NJ","VMD-KNN",-3233
56,"USA","NJ","VMD-KNN",-411
57,"USA","NJ","VMD-KNN",-20286
58,"USA","NJ","VMD-KNN",-16074
59,"USA","NJ","VMD-KNN",-15066
60,"USA","NJ","VMD-KNN",-17556
61,"USA","NJ","VMD-KNN",-1282
62,"USA","NJ","VMD-KNN",1934
63,"USA","NJ","VMD-KNN",2140
64,"USA","NJ","VMD-KNN",3549
65,"USA","NJ","VMD-KNN",6576
66,"USA","NJ","VMD-KNN",4682
67,"USA","NJ","VMD-KNN",584
68,"USA","NJ","VMD-KNN",-6365
69,"USA","NJ","VMD-KNN",-357
70,"USA","NJ","VMD-KNN",-1029
71,"USA","NJ","VMD-KNN",2666
72,"USA","NJ","VMD-KNN",3828
73,"USA","NJ","VMD-KNN",6145
74,"USA","NJ","VMD-KNN",1816
75,"USA","NJ","VMD-KNN",3792
76,"USA","NJ","VMD-KNN",5011
77,"USA","NJ","VMD-KNN",5066
78,"USA","NJ","VMD-KNN",10234
79,"USA","NJ","VMD-KNN",-6597
80,"USA","NJ","VMD-KNN",-711
81,"USA","NJ","VMD-KNN",-4151
82,"USA","NJ","VMD-KNN",16413
83,"USA","NJ","VMD-KNN",18091
84,"USA","NJ","VMD-KNN",15712
85,"USA","NJ","VMD-KNN",8152
86,"USA","NJ","VMD-KNN",6825
87,"USA","NJ","VMD-KNN",5475
88,"USA","NJ","VMD-KNN",7106
89,"USA","NJ","VMD-KNN",11776
90,"USA","NJ","VMD-KNN",15266
91,"USA","NJ","VMD-KNN",11435
92,"USA","NJ","VMD-KNN",14632
93,"USA","NJ","VMD-KNN",44647
94,"USA","NJ","VMD-KNN",35389
