date;state;confirmed;tmax;tmin;prec
20/02/2020;New Jersey;0;6,638235;-3,988235;0
21/02/2020;New Jersey;0;2,244118;-7,517647;0
22/02/2020;New Jersey;0;5,347059;-6,6;0
23/02/2020;New Jersey;0;10,832353;-5,294118;0
24/02/2020;New Jersey;0;14,167647;-2,508824;0
25/02/2020;New Jersey;0;13,6909091;1,8;3,521186
26/02/2020;New Jersey;0;10,129412;6,008824;53,31325
27/02/2020;New Jersey;0;9,321212;1,751515;104,8374
28/02/2020;New Jersey;0;5,5875;-2,8727273;0,699115
29/02/2020;New Jersey;0;4,25;-3,891176471;0,06542056
01/03/2020;New Jersey;0;4,16;-4,896666667;0,01369863
02/03/2020;New Jersey;0;10,084375;-2,884375;0,1756757
03/03/2020;New Jersey;0;15,881818;2,721212;10,95885
04/03/2020;New Jersey;0;14,460606;5,672727;62,68313
05/03/2020;New Jersey;2;12,565625;1,815625;1,611607
06/03/2020;New Jersey;2;9,5090909;-0,8212121;5,627803
07/03/2020;New Jersey;4;7,403125;-0,2375;75,50633
08/03/2020;New Jersey;5;10,934375;-2,86875;0,1336406
09/03/2020;New Jersey;5;17,46363636;-0,53030303;0,8165138
10/03/2020;New Jersey;15;20,709375;4,653125;0,1403509
11/03/2020;New Jersey;23;16,803125;4,09375;5,112971
12/03/2020;New Jersey;29;12,72424242;1,37575758;0,7610619
13/03/2020;New Jersey;49;15,409091;5,218182;61,43673
14/03/2020;New Jersey;69;18,084375;4,43125;21,45662
15/03/2020;New Jersey;72;12,9870968;2,7741935;5,242291
16/03/2020;New Jersey;176;10,725;-1,41515152;0,2678571
17/03/2020;New Jersey;250;10,5375;1,066667;18,41736
18/03/2020;New Jersey;397;12,85;1,625;13,19643
19/03/2020;New Jersey;741;12,71875;3,463636;223,86614
20/03/2020;New Jersey;890;16,875;6,4625;11,25431
21/03/2020;New Jersey;1327;22,021875;4,246875;4,669643
22/03/2020;New Jersey;1914;9,99677419;-0,36774194;0,9775785
23/03/2020;New Jersey;2844;7,183871;0,8387097;26,65272
24/03/2020;New Jersey;3675;8,451515;1,581818;201,57377
25/03/2020;New Jersey;4402;10,65625;2,721875;2,918455
26/03/2020;New Jersey;6876;10,5424242;-0,2333333;7,913793
27/03/2020;New Jersey;8825;17,0322581;3,3290323;1,945833
28/03/2020;New Jersey;11124;15,978125;5,940625;12,48718
29/03/2020;New Jersey;13386;10,572727;6,778788;129,65844
30/03/2020;New Jersey;16636;10,739394;6,842424;16,75203
31/03/2020;New Jersey;18696;10,8875;4,903125;38,61044
01/04/2020;New Jersey;22255;9,571875;3,175;3,665217
02/04/2020;New Jersey;25590;12,93125;2,778125;0,1205357
03/04/2020;New Jersey;29895;13,575;5,06875;1,106383
04/04/2020;New Jersey;34124;13,2709677;6,583871;8,600823
05/04/2020;New Jersey;37505;16,6096774;5,7419355;1,017316
06/04/2020;New Jersey;41090;18,584375;6,0375;9,650407
07/04/2020;New Jersey;44416;18,22903226;4,97419355;0,2118644
08/04/2020;New Jersey;47437;20,2125;7,26875;79,7093
09/04/2020;New Jersey;51027;19,6125;6,2774194;5,665272
10/04/2020;New Jersey;54588;14,348387;3,251613;34,45902
11/04/2020;New Jersey;58151;10,816129;1,62;1,595833
12/04/2020;New Jersey;61850;14,92;0,27;0,5605381
13/04/2020;New Jersey;64584;19,34;5,733333;193,50996
14/04/2020;New Jersey;68824;17,53125;6,1125;232,6559
15/04/2020;New Jersey;71030;13,003226;3,103226;20,10359
16/04/2020;New Jersey;75317;10,8516129;1,87741935;0,9156118
17/04/2020;New Jersey;78467;10,3;-1,896875;1,130802
18/04/2020;New Jersey;81420;9,990625;0,271875;45,30165
19/04/2020;New Jersey;85301;11,422581;-1,041935;11,11983
20/04/2020;New Jersey;88722;15,334375;2,953125;0,2564103
21/04/2020;New Jersey;92387;14,878125;2,9375;3,779221
22/04/2020;New Jersey;95914;13,835484;1,13871;51,39526
23/04/2020;New Jersey;100025;11,2677419;0,8774194;3,847826
24/04/2020;New Jersey;102196;11,774194;4,222581;175,44488
25/04/2020;New Jersey;105498;12,721875;3,81875;82,36626
26/04/2020;New Jersey;109038;15,012903;6,116129;14,69787
27/04/2020;New Jersey;111188;10,206897;4,013793;59,9188
28/04/2020;New Jersey;113856;18,9;2,8;5,920904
22/01/2020;New York;0;-3,22777778;-15,09245283;0,1329114
23/01/2020;New York;0;1,75517241;-11,82631579;0,4840764
24/01/2020;New York;0;4,4;-9,1637931;0,2996845
25/01/2020;New York;0;7,346032;-2,766667;26,46082
26/01/2020;New York;0;3,2933333;-0,7766667;165,8
27/01/2020;New York;0;2,538462;-0,9;22,64164
28/01/2020;New York;0;1,6910714;-2,2160714;9,125402
29/01/2020;New York;0;-0,3527273;-5,9836364;4,068182
30/01/2020;New York;0;-2;-13,16333333;0,1993671
31/01/2020;New York;0;-0,20983607;-12,14918033;0,1968254
01/02/2020;New York;0;0,885;-5,4833333;3,251592
02/02/2020;New York;0;1,0517241;-4,1206897;8,746667
03/02/2020;New York;0;2,275;-2,507692;25,26174
04/02/2020;New York;0;6,48813559;-2,64576271;0,6335404
05/02/2020;New York;0;4,7368421;-3,9701754;3,210526
06/02/2020;New York;0;-0,3115385;-5,1538462;96,787375
07/02/2020;New York;0;0,2864407;-4,4949153;98,028939
08/02/2020;New York;0;-1,292857;-11,696429;130,33106
09/02/2020;New York;0;-3,822807;-14,7818182;4,891525
10/02/2020;New York;0;2,065455;-9,112963;35,6782
11/02/2020;New York;0;3,396825;-1,611475;37,78065
12/02/2020;New York;0;2,5123077;-2,825;8,974359
13/02/2020;New York;0;2,690385;-3,513462;79,22408
14/02/2020;New York;0;0,6440678;-15,1;20,796721
15/02/2020;New York;0;-7,97777778;-20,4796875;0,3741935
16/02/2020;New York;0;-0,6209677;-15,3770492;1,525084
17/02/2020;New York;0;2,72372881;-6,88275862;0,4314381
18/02/2020;New York;0;2,713333;-7,584746;13,41806
19/02/2020;New York;0;4,590323;-3,416393;32,67203
20/02/2020;New York;0;-0,4951613;-10,0629032;4,704918
21/02/2020;New York;0;-3,2936508;-14,4904762;1,130293
22/02/2020;New York;0;-0,027272727;-12,33636364;0,02597403
23/02/2020;New York;0;5,130303;-7,077273;0
24/02/2020;New York;0;9,065079365;-4,783606557;0,009933775
25/02/2020;New York;0;11,0925373;-1,5;3,822785
26/02/2020;New York;0;5,465625;0,1203125;26,9653
27/02/2020;New York;0;4,917742;-2,664516;156,09677
28/02/2020;New York;0;-1,026667;-7,432787;23,79933
29/02/2020;New York;0;-3,02381;-10,153226;16,62847
01/03/2020;New York;0;-3,7645161;-12,2290323;3,483444
02/03/2020;New York;1;4,511475;-7,996667;2,72
03/03/2020;New York;2;10,6934426;0,8721311;23,878125
04/03/2020;New York;11;10,21746;1,287302;69,33435
05/03/2020;New York;23;6,1220339;-1,4017241;4,898734
06/03/2020;New York;31;6,44193548;-3,72419355;0,5955414
07/03/2020;New York;76;4,876271;-6,071186;16,73955
08/03/2020;New York;106;4,025;-6,003125;0,00974026
09/03/2020;New York;142;12,74761905;-1,053968254;0,009677419
10/03/2020;New York;150;17,8818182;3,7584615;3,978395
11/03/2020;New York;220;12,148485;-2,472727;34,83283
12/03/2020;New York;327;6,04067797;-2,96949153;0,5862069
13/03/2020;New York;421;10,905882;1,061765;47,43553
14/03/2020;New York;613;10,9557143;-0,5442857;26,39577
15/03/2020;New York;615;5,047692308;-2,715384615;0,03426791
16/03/2020;New York;967;4,90923077;-8,6328125;0,4100946
17/03/2020;New York;1578;7,710938;-6,975;10,29412
18/03/2020;New York;3038;6,5863636;-3,3681818;8,517134
19/03/2020;New York;5704;9,366667;-2,057353;95,71884
20/03/2020;New York;8403;12,851471;3,254412;45,21159
21/03/2020;New York;11727;17,58209;-3,763636;21,15868
22/03/2020;New York;15800;2,9153846;-8,7169231;0,184953
23/03/2020;New York;20884;4,041509;-7,116981;13,06452
24/03/2020;New York;25681;2,1;-1,37;146,5194
25/03/2020;New York;30841;4,92413793;-1,85344828;0,6068111
